,Roll no.,1st,2nd,3rd,4th,Avg
0,17020,8.11,7.68,7.11,7.43,7.5825
1,17021,6.48,5.9,4.15,4.29,5.205
2,17022,8.41,8.24,7.52,8.25,8.105
3,17023,7.33,6.83,6.33,6.79,6.82
4,17024,7.89,7.34,7.22,7.32,7.4425
5,17025,7.33,6.72,6.48,6.5,6.7575
6,17026,7.15,6.72,6.89,6.86,6.905
7,17027,6.74,6.38,4.93,5.64,5.9225
8,17028,7.89,7.45,6.96,7.71,7.5025
9,17029,7.3,6.34,6.3,6.61,6.6375
10,17030,8.0,7.9,7.52,7.64,7.765000000000001
11,17031,6.78,4.28,5.81,6.04,5.7275
12,17032,5.67,5.62,5.48,5.93,5.675
13,17033,6.33,6.41,6.41,6.93,6.52
14,17034,6.44,6.21,6.19,6.68,6.38
15,17035,6.3,6.17,5.59,5.89,5.9875
16,17036,6.96,6.14,6.93,7.18,6.8025
17,17037,6.7,6.45,5.78,6.0,6.2325
18,17038,7.41,6.93,7.33,7.71,7.345000000000001
19,17039,7.04,6.31,6.44,7.21,6.75
20,17040,6.63,5.62,6.11,5.79,6.0375
21,17041,8.33,8.72,7.81,8.04,8.225
22,17042,7.96,7.93,7.78,8.21,7.970000000000001
23,17043,6.89,5.55,5.93,6.79,6.289999999999999
24,17044,8.19,8.17,7.15,7.75,7.8149999999999995
25,17045,7.89,6.69,7.15,8.43,7.54
26,17046,7.33,6.55,5.96,6.75,6.6475
27,17047,8.22,8.17,8.37,9.04,8.45
28,17048,7.44,7.59,7.26,7.89,7.545
29,17049,5.74,6.45,6.48,7.29,6.49
30,17050,6.81,6.79,6.3,7.14,6.76
31,17051,8.89,8.31,7.3,9.25,8.4375
32,17052,8.04,7.59,7.22,8.32,7.7924999999999995
33,17053,8.3,8.38,7.63,7.93,8.059999999999999
34,17054,8.04,6.69,6.37,6.64,6.9350000000000005
35,17055,7.44,7.97,7.78,8.64,7.9575000000000005
36,17056,7.85,6.9,7.04,7.82,7.4025
37,17057,8.07,7.34,7.59,7.89,7.7225
38,17058,7.59,7.38,7.3,8.64,7.7275
39,17059,8.19,7.66,7.48,8.68,8.0025
40,17060,5.81,5.83,4.15,4.93,5.18
41,17061,6.3,6.24,5.85,6.36,6.1875
42,17062,7.78,6.93,7.44,7.86,7.5025
43,17063,8.22,6.66,7.07,7.29,7.3100000000000005
44,17064,7.67,7.07,7.04,7.07,7.2125
45,17065,8.41,7.59,7.41,7.89,7.825
46,17042,7.59,7.83,6.89,7.32,7.4075
47,17042,5.3,5.62,4.56,4.36,4.96
48,17042,7.26,7.62,7.26,7.29,7.3575
49,17042,7.93,7.83,7.81,8.32,7.9725
